ecg,ecg1,ecg3,rrIntervalList
4632.832,9056.256,7781.12,
4723.712,9206.784,7744.256,
4797.952,9293.312,7702.272,
4709.376,9145.856,7744.512,
4633.344,9058.048,7795.968,
4714.752,9210.368,7757.568,
4795.392,9307.136,7710.72,
4715.264,9158.144,7744.512,
4638.464,9062.144,7798.272,
4740.096,9216.768,7757.312,
4829.952,9312.256,7724.288,
4733.952,9150.976,7768.832,
4643.84,9056.768,7804.672,
4740.864,9222.912,7756.544,
4819.712,9313.792,7693.568,
4736.256,9166.848,7717.376,
4667.648,9096.704,7751.68,
4752.896,9251.072,7726.336,
4819.712,9323.008,7695.872,
4728.832,9169.664,7736.576,
4663.552,9095.68,7789.056,
4749.568,9245.952,7741.952,
4817.664,9324.288,7715.584,
4720.896,9166.848,7759.104,
4644.352,9088.512,7799.296,
4740.352,9251.84,7755.008,
4817.664,9338.112,7704.576,
4726.528,9181.184,7748.608,
4653.312,9096.96,7794.176,
4740.352,9245.184,7754.24,
4814.336,9325.568,7717.888,
4714.24,9169.92,7763.712,
4637.952,9088,7806.208,
4724.992,9244.16,7757.568,
4792.064,9317.888,7725.568,
4699.648,9158.912,7773.184,
4630.528,9085.952,7804.416,
4722.176,9248,7755.776,
4792.32,9326.848,7701.504,
4701.184,9165.824,7737.344,
4636.928,9087.744,7782.912,
4731.136,9239.04,7747.584,
4802.816,9311.232,7700.48,
4706.816,9150.72,7739.648,
4641.792,9079.552,7782.912,
4737.792,9239.296,7745.792,
4804.096,9309.184,7702.016,
4714.24,9150.464,7736.576,
4645.632,9076.48,7783.424,
4734.464,9236.992,7744.768,
4797.696,9305.088,7710.72,
4694.528,9141.76,7758.848,
4628.224,9079.04,7794.944,
4728.576,9239.808,7749.632,
4802.56,9307.136,7713.28,
4709.376,9147.392,7754.24,
4647.68,9087.744,7774.72,
4741.888,9250.816,7723.776,
4794.624,9313.024,7691.008,
4689.664,9140.736,7748.608,
4632.32,9072.896,7792.128,
4735.232,9237.76,7752.704,
4801.536,9308.928,7702.016,
4705.792,9151.232,7740.416,
4638.464,9090.304,7782.912,
4723.968,9250.048,7744,
4786.944,9310.72,7725.824,
4694.016,9146.88,7776,
4634.624,9084.928,7803.904,
4729.088,9243.136,7760.384,
4785.92,9300.48,7725.568,
4694.016,9143.808,7764.48,
4628.736,9083.392,7795.2,
4728.576,9254.144,7751.168,
4804.096,9329.92,7708.672,
4700.928,9163.776,7752.192,
4632.576,9097.216,7786.24,
4730.368,9256.192,7743.232,
4798.208,9319.424,7715.584,
4694.784,9155.84,7761.408,
4628.992,9100.288,7794.688,
4728.32,9264.896,7747.072,
4791.04,9322.496,7715.072,
4692.736,9156.864,7769.088,
4637.696,9104.128,7804.672,
4741.376,9276.16,7753.984,
4791.04,9330.176,7716.864,
4684.8,9161.984,7766.528,
4636.928,9116.416,7792.896,
4741.632,9282.304,7750.656,
4794.368,9331.456,7725.568,
4696.32,9172.224,7765.248,
4643.072,9122.304,7784.448,
4744.192,9287.68,7734.016,
4806.144,9342.208,7708.416,
4702.208,9174.784,7757.824,
4646.912,9126.656,7793.664,
4741.12,9290.496,7741.696,
4791.552,9340.416,7708.416,
4699.136,9172.992,7765.504,
4648.96,9120.256,7793.152,
4748.8,9285.632,7744.768,
4810.752,9337.856,7710.464,
4711.936,9169.92,7754.24,
4646.144,9111.808,7784.96,
4745.216,9280.768,7741.952,
4804.608,9337.856,7720.192,
4695.296,9169.152,7773.696,
4645.12,9115.904,7795.968,
4756.224,9289.728,7741.44,
4811.264,9344.768,7695.104,
4707.584,9178.624,7735.296,
4654.08,9127.68,7767.296,
4757.248,9287.168,7730.688,
4804.352,9327.104,7718.4,
4696.064,9159.936,7761.664,
4655.36,9127.68,7781.12,
4766.464,9301.504,7732.224,
4813.312,9336.064,7705.856,
