ecg,ecg2,ecg3,rrIntervalList
9771.008,8258.56,1721.6
9820.928,8361.216,1676.032
9818.368,8427.776,1654.528
9790.976,8359.68,1704.192
9757.696,8250.624,1704.448
9745.92,8316.16,1690.88
9767.936,8392.96,1655.808
9782.272,8352.512,1676.8
9793.792,8312.576,1710.08
9779.712,8453.376,1772.544
9747.456,8565.504,1860.352
9822.464,8532.992,1849.6
9978.368,8513.28,1742.336
10221.824,8735.488,1561.088
10535.68,9204.224,1403.136
10778.624,9690.624,1319.68
10917.12,9985.28,1142.272
10777.088,10026.496,1003.008
10452.224,9548.288,918.272
10102.272,8795.648,984.064
9882.624,8332.544,1171.456
9883.136,8341.248,1296.128
9865.728,8479.744,1449.984
9813.504,8501.248,1623.296
9809.92,8456.448,1677.568
9819.136,8514.304,1645.056
9819.904,8574.464,1635.072
9818.88,8518.912,1673.216
9808.384,8431.616,1678.848
9798.656,8497.92,1668.608
9771.776,8524.032,1644.288
9759.232,8446.464,1669.632
9795.84,8408.32,1678.08
9817.6,8479.488,1622.016
9788.672,8517.12,1600.256
9789.44,8462.336,1623.296
9810.432,8405.76,1630.976
9790.976,8461.312,1615.872
9790.464,8537.344,1592.064
9831.424,8516.864,1607.168
9847.552,8447.488,1613.312
9783.552,8515.84,1573.12
9811.712,8489.984,1592.32
9863.168,8463.872,1598.72
9907.968,8580.352,1573.12
9924.352,8662.784,1546.752
9898.496,8574.464,1559.552
9857.024,8453.888,1556.736
9847.808,8519.168,1534.976
9864.192,8604.416,1510.4
9905.152,8587.776,1520.128
9963.008,8561.152,1510.912
10011.392,8669.184,1477.632
10011.136,8729.088,1435.136
9987.584,8656.128,1452.032
9993.984,8582.912,1436.672
10014.208,8664.576,1384.96
10041.856,8748.288,1346.816
10095.872,8738.816,1355.264
10145.024,8705.28,1351.424
10148.352,8767.744,1310.72
10148.608,8835.584,1304.832
10159.104,8675.072,1387.776
10017.28,8660.48,1391.616
9920.512,8635.904,1387.264
9879.296,8543.744,1428.48
9871.36,8466.176,1446.912
9852.672,8514.048,1427.968
9841.408,8564.736,1416.96
9829.632,8486.656,1437.184
9824.512,8393.728,1433.6
9821.44,8457.472,1415.168
9824.768,8529.408,1393.152
9802.496,8448.512,1404.416
9775.36,8331.776,1406.976
9756.672,8366.592,1376.0
9761.792,8442.88,1359.36
9771.008,8396.544,1376.256
9800.448,8343.552,1371.904
9831.168,8428.8,1324.544
9778.176,8430.08,1294.592
9742.592,8343.552,1335.296
9774.848,8309.504,1362.432
9782.528,8383.488,1324.288
9769.472,8429.056,1285.12
9776.64,8388.096,1323.776
9802.496,8345.088,1340.416
9782.784,8398.592,1322.24
9721.088,8401.664,1290.24
9702.656,8326.4,1313.536
9745.92,8293.632,1322.752
9773.824,8392.96,1301.76
9771.52,8465.664,1286.4
9754.88,8389.632,1299.712
9750.016,8304.384,1307.136
9733.888,8357.632,1285.12
9723.648,8415.744,1263.872
9750.528,8375.04,1268.48
9794.56,8328.448,1261.824
9812.736,8416.256,1241.856
9831.168,8503.552,1210.88
9841.152,8458.752,1225.984
9794.304,8336.128,1240.32
9742.848,8351.232,1224.448
9758.464,8428.8,1195.776
9794.816,8413.44,1218.816
9818.88,8349.696,1216.0
9790.464,8382.208,1188.352
9740.544,8395.52,1165.568
9727.744,8324.352,1190.656
9733.632,8254.208,1198.08
9729.792,8317.184,1164.8
9734.912,8377.088,1128.704
9760.512,8332.288,1136.64
9777.92,8275.712,1154.816
9774.848,8343.808,1134.848
9770.752,8395.776,1095.68
9809.92,8367.616,1095.936
9901.568,8373.248,1094.656
9948.672,8491.264,1070.848
9900.544,8543.488,1087.744
9763.328,8296.704,1150.72
9770.496,8329.216,1079.04
9807.36,8400.128,1013.76
9821.44,8364.8,1040.896
9826.816,8296.192,1041.664
9841.92,8335.872,979.712
9849.344,8367.872,925.952
9860.352,8296.96,932.608
9872.384,8226.816,937.472
9889.536,8324.608,915.2
9876.48,8409.344,908.032
9820.16,8332.8,965.888
9769.472,8210.688,987.136
9735.424,8224.768,948.48
9718.272,8270.336,933.632
9734.912,8235.008,965.888
9785.856,8205.056,969.728
9788.416,8279.552,953.856
9735.936,8285.952,915.968
9721.6,8216.064,934.912
9740.8,8161.024,945.408
9735.68,8220.672,918.016
9715.968,8263.168,894.976
9722.112,8224.256,942.336
9788.416,8280.576,912.64
9770.24,8333.568,897.28
9747.456,8298.752,967.424
9733.12,8317.696,1092.864
9746.688,8431.616,1143.552
9808.384,8475.904,1041.152
9981.952,8466.176,903.168
10321.408,8658.688,738.304
10690.816,9266.176,573.952
10942.464,9879.296,416.512
10976.0,10042.88,262.4
10687.232,9695.744,216.064
10282.752,9057.024,191.232
9942.272,8544.256,327.168
9862.656,8300.288,521.728
9937.92,8292.608,679.936
9898.496,8448.512,834.048
9785.6,8482.304,888.576
9731.84,8384.0,928.768
9747.712,8310.272,932.096
9776.128,8390.656,904.192
9784.576,8460.032,890.624
9798.144,8414.464,908.544
9806.848,8340.736,908.544
9780.992,8372.224,880.384
9773.568,8428.544,860.416
9811.2,8405.248,873.728
9831.68,8345.088,885.504
9802.752,8390.4,877.568
9741.056,8402.688,864.768
9723.904,8323.84,879.616
9764.864,8278.528,888.32
9803.008,8385.28,866.816
9812.224,8454.144,830.208
9825.792,8414.208,852.992
9838.08,8353.28,856.576
9836.288,8398.08,808.704
9824.768,8444.928,776.192
9836.8,8412.928,814.08
9862.4,8369.92,828.416
9879.808,8457.472,802.56
9860.352,8501.248,772.608
9831.936,8420.864,790.784
9870.08,8380.928,790.272
9917.696,8490.752,753.664
9937.92,8572.16,716.8
9961.216,8540.416,729.088
9984.256,8481.792,719.36
9986.816,8550.656,678.656
